candname,cf_score,congdist,party
"ZANZI, ITALO ANDRES",0.580236502,1,200
"BISHOP, TIMOTHY H",-1.022489019,1,100
"PRICE, JOSHUA CLINTON",2.3373773819999997,2,200
"ISRAEL, STEVE",-0.6703608520000001,2,100
"MEJIAS, DAVID L",-0.857638155,3,100
"KING, PETER T",0.124493434,3,200
"BLESSINGER, MARTIN W",0.5133636779999999,4,200
"MCCARTHY, CAROLYN",-1.03432612,4,100
"ACKERMAN, GARY L",-0.621681284,5,100
"MEEKS, GREGORY WELDON",-0.5334728679999999,6,100
"CROWLEY, JOSEPH",-0.617831101,7,100
"NADLER, JERROLD L MR.",-0.785069967,8,100
"WEINER, ANTHONY D MR",-0.858728843,9,100
"TOWNS, EDOLPHUS",-0.602581932,10,100
"CLARKE, YVETTE",-0.88888864,11,100
"VELAZQUEZ, NYDIA M",-0.825106022,12,100
"HARRISON, STEPHEN A",-1.043565875,13,100
"FOSSELLA, VITO J JR",0.36933264,13,200
"MAIO, DANNIEL SUN",0.912184414,14,200
"MALONEY, CAROLYN B",-0.7038516090000001,14,100
"RANGEL, CHARLES B",-0.62045339,15,100
"SERRANO, JOSE E",-0.686175447,16,100
"ENGEL, ELIOT L",-0.520395406,17,100
"HOFFMAN, RICHARD A",0.48404393799999995,18,200
"LOWEY, NITA M",-0.983789402,18,100
"HALL, JOHN JOSEPH",-1.365277593,19,100
"KELLY, SUE",0.324625698,19,200
"SWEENEY, JOHN E",0.34806758200000004,20,200
"GILLIBRAND, KIRSTEN ELIZABETH MRS",-1.133176248,20,100
"MCNULTY, MICHAEL R",-0.46841177700000003,21,100
"HINCHEY, MAURICE D",-0.992945538,22,100
"JOHNSON, ROBERT J",-1.8027146040000002,23,100
"MCHUGH, JOHN MICHAEL",0.043162434000000006,23,200
"MEIER, RAYMOND",0.655905136,24,200
"ARCURI, MICHAEL ANGELO",-0.964038347,24,100
"WALSH, JAMES T",0.369671508,25,200
"MAFFEI, DANIEL B MR.",-1.150317749,25,100
"DAVIS, JOHN R JR",-0.70424203,26,100
"REYNOLDS, THOMAS M",0.49956023,26,200
"HIGGINS, BRIAN M",-0.594717508,27,100
"DONNELLY, JOHN E",-0.8063007640000001,28,200
"SLAUGHTER, LOUISE MCINTOSH",-1.029373179,28,100
"MASSA, ERIC J J",-1.2040391609999999,29,100
"KUHL, JOHN R JR",0.494678369,29,200
